asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B005FT4N2M,LiftMaster 828LM Internet Gateway Remote Light for MyQ-Enabled Garage Door Openers and Gate Operator,https://m.media-amazon.com/images/I/61X9FgxS25L._AC_UY218_.jpg,https://www.amazon.com/dp/B005FT4N2M,4.6,0,66.99,119.99,187,False,0
B0C951YYJ5,"MaXpace 31"" Softside UltraLight Checked Spinner, Dark Brown Camo",https://m.media-amazon.com/images/I/916o+PPeYvL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C951YYJ5,5.0,0,82.6,0.0,104,False,0
B00EG1TCPS,"Seagate Constellation ES.3 ST2000NM0033 2 TB 3.5"" Internal Hard Drive ST2000NM0033-20BLK",https://m.media-amazon.com/images/I/41vweliLdcL._AC_UL320_.jpg,https://www.amazon.com/dp/B00EG1TCPS,5.0,0,52.99,69.99,55,False,0
B07NXTBD8D,Apera Instruments 3M KCL Storage Soaking Solution (8 oz.) for pH and ORP Electrodes,https://m.media-amazon.com/images/I/61BIOIF6WNL._AC_UL320_.jpg,https://www.amazon.com/dp/B07NXTBD8D,4.7,0,13.5,0.0,150,True,400
B0C77MXT35,"3 Barrel Curling Iron-Dual Voltage Hair Crimper,1 Inch Ceramic Tourmaline with Temperature Adjustable Hair Waver Style Tool(Pink)",https://m.media-amazon.com/images/I/71KdAfsIfqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C77MXT35,4.3,0,22.58,27.08,47,True,300
B09B2R8977,"Chamberlain C2405 MYQ Smart Garage Door Opener, Chain Drive, 1/2-HP Motor, Dual Light - Quantity 1",https://m.media-amazon.com/images/I/51D228JxvKL._AC_UY218_.jpg,https://www.amazon.com/dp/B09B2R8977,4.7,0,259.99,0.0,187,False,0
B077YRHFHQ,Yale Security Assure Lock SL - Key-Free Touchscreen Door Lock in Satin Nickel,https://m.media-amazon.com/images/I/612XswmaKWL._AC_UY218_.jpg,https://www.amazon.com/dp/B077YRHFHQ,4.5,0,150.99,169.99,187,False,0
B09B2SDWNX,"Chamberlain B2405 Quiet Wi-Fi Garage Door Opener, Wireless Keypad - Quantity 1",https://m.media-amazon.com/images/I/51CJ11wwN6L._AC_UY218_.jpg,https://www.amazon.com/dp/B09B2SDWNX,4.6,0,240.23,0.0,187,False,0
B0BVJSW2YJ,OmezanParts 1TB 1000GB Recorder Surveillance Hard Drive for ZOSI DVR,https://m.media-amazon.com/images/I/61fJIK6D5LL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVJSW2YJ,5.0,0,54.99,0.0,55,False,0
B0869MGCR4,"eufy Security E130 Smart Lock Touch, Fingerprint Keyless Entry Door Lock, Bluetooth Electronic Deadbolt, Touchscreen Keypad, IP65 Weatherproofing, Compatible with Wi-Fi Bridge (Sold Separately)",https://m.media-amazon.com/images/I/51M4iafDFQS._AC_UY218_.jpg,https://www.amazon.com/dp/B0869MGCR4,4.5,0,169.99,0.0,187,False,0
B0BXPQGVZ5,"Metal File Set, 3-Piece, 8-inch,Professional Carbon Steel File, Includes Flat/Half-Round/Round,Work for Metal, Wood and More",https://m.media-amazon.com/images/I/71mGV3zMs9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXPQGVZ5,4.6,0,16.99,19.0,207,True,0
B0BPJV2W64,Tonies Bobby The Sea Turtle Audio Play Character from Conservation Crew,https://m.media-amazon.com/images/I/615EoTj5sFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BPJV2W64,5.0,0,19.99,0.0,224,False,200
B09HR79RR3,Kwikset Home Connect 620 Keypad Connected Smart Lock With Z-Wave Technology Featuring SmartKey Security In Venetian Bronze,https://m.media-amazon.com/images/I/51OeX0-1RtL._AC_UY218_.jpg,https://www.amazon.com/dp/B09HR79RR3,4.5,0,119.0,149.0,187,False,0
B0C9HGVJ11,"Patriot Memory Viper VP4300 Lite 1TB M.2 PCIe Gen4 x4 SSD, Compatible with PS5",https://m.media-amazon.com/images/I/71vj28KJOtL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9HGVJ11,5.0,0,59.99,0.0,55,False,0
B0000CCXU9,"DEWALT Planer Stand with Integrated Mobile Base, 24” x 22” x 30” (DW7350)",https://m.media-amazon.com/images/I/61iRn0BOl1L._AC_UL320_.jpg,https://www.amazon.com/dp/B0000CCXU9,4.8,0,158.04,179.99,207,True,400
B0C58Y3Z5L,184 Pcs Large Letter Stickers 6 Inch Vinyl Alphabet Letter Number Stickers Self Adhesive Big Font Letters Number Stickers for Classroom Window Door Home Decor Mailbox Presentation (Gold),https://m.media-amazon.com/images/I/712OIdzPXSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C58Y3Z5L,5.0,0,24.99,0.0,5,False,100
B098SGFZWR,"Security S230 Smart Lock by eufy - Touch & Wi-Fi, Fingerprint Scan, Keyless Entry Door, Built-in Wi-Fi, Bluetooth Electronic Deadbolt, BHMA Certified, IP65 Weatherproof, Touchscreen Keypad.",https://m.media-amazon.com/images/I/61z4N2uGxIL._AC_UY218_.jpg,https://www.amazon.com/dp/B098SGFZWR,4.5,0,229.99,0.0,187,False,0
B01N0GWL0R,828LM LiftMaster Internet Gateway by LiftMaster,https://m.media-amazon.com/images/I/51kaRpzIHnL._AC_UY218_.jpg,https://www.amazon.com/dp/B01N0GWL0R,4.6,0,69.95,82.04,187,False,0
B08HYTGFLR,"eufy Security Smart Lock S230, Fingerprint Door Lock, Keyless Entry Smart Door Lock, One-Year Battery Life, Touchscreen Keypad, BHMA Certified, IP65 Weatherproofing(E130 Updated Version)",https://m.media-amazon.com/images/I/71GIq89605L._AC_UY218_.jpg,https://www.amazon.com/dp/B08HYTGFLR,4.5,0,229.99,259.99,187,False,0
B0055DZ3EK,"AmScope PS25 Prepared Microscope Slide Set for Basic Biological Science Education, 25 Slides, Includes Fitted Wooden Case Brown",https://m.media-amazon.com/images/I/813jzq+B6bL._AC_UL320_.jpg,https://www.amazon.com/dp/B0055DZ3EK,4.7,0,9.59,0.0,155,True,1000
